Handle,Title,Vendor,Type,Published,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,product.metafields.custom.artisan,product.metafields.custom.concentration,product.metafields.custom.top_notes,product.metafields.custom.heart_notes,product.metafields.custom.base_notes,Body (HTML)
dumont-red,Red,Dumont,Parfum,TRUE,Title,Default Title,shopify,20,deny,manual,150,TRUE,TRUE,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Scent,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Scent scent with Strong longevity.
dumont-homme,Homme,Dumont,Parfum,TRUE,Title,Default Title,shopify,21,deny,manual,151,TRUE,TRUE,https://images.unsplash.com/photo-1594035910387-fea47794261f?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Scent,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Scent scent with Strong longevity.
dumont-white,White,Dumont,Parfum,TRUE,Title,Default Title,shopify,22,deny,manual,152,TRUE,TRUE,https://images.unsplash.com/photo-1585386959984-a4155224a1ad?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Scent,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Unisex seeking a Scent scent with Strong longevity.
dumont-blue,Blue,Dumont,Parfum,TRUE,Title,Default Title,shopify,23,deny,manual,153,TRUE,TRUE,https://images.unsplash.com/photo-1595535373192-fc8938b27529?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Scent,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Unisex seeking a Scent scent with Strong longevity.
dumont-green,Green,Dumont,Parfum,TRUE,Title,Default Title,shopify,24,deny,manual,154,TRUE,TRUE,https://images.unsplash.com/photo-1603569283847-aa295f0d016a?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Scent,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Unisex seeking a Scent scent with Strong longevity.
dumont-platinum,Platinum,Dumont,Parfum,TRUE,Title,Default Title,shopify,25,deny,manual,155,TRUE,TRUE,https://images.unsplash.com/photo-1619994403073-2cec844b8e63?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Pleaser,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Pleaser scent with Strong longevity.
dumont-intense,Intense,Dumont,Parfum,TRUE,Title,Default Title,shopify,26,deny,manual,156,TRUE,TRUE,https://images.unsplash.com/photo-1590156546946-ce55a12a6a5d?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Spicy scent with Strong longevity.
dumont-black,Black,Dumont,Parfum,TRUE,Title,Default Title,shopify,27,deny,manual,157,TRUE,TRUE,https://images.unsplash.com/photo-1590156546946-ce55a12a6a5d?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Spicy,Aromatic,Strong,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Spicy scent with Strong longevity.
dumont-oros,Oros,Dumont,Parfum,TRUE,Title,Default Title,shopify,28,deny,manual,158,TRUE,TRUE,https://images.unsplash.com/photo-1615529182904-14819c35db37?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Vanilla,Aromatic,Medium,A masterfully crafted EDP fragrance by Dumont. Perfect for Unisex seeking a Vanilla scent with Medium longevity.
dumont-epic,Epic,Dumont,Parfum,TRUE,Title,Default Title,shopify,29,deny,manual,159,TRUE,TRUE,https://images.unsplash.com/photo-1599305090598-fe179d501227?q=80&w=800&auto=format&fit=crop,Dumont,Parfum,Aromatic,Aromatic,Medium,A masterfully crafted EDP fragrance by Dumont. Perfect for Male seeking a Aromatic scent with Medium longevity.
armaf-man,Man,Armaf,Cologne,TRUE,Title,Default Title,shopify,30,deny,manual,160,TRUE,TRUE,https://images.unsplash.com/photo-1592945403244-b3fbafd7f539?q=80&w=800&auto=format&fit=crop,Armaf,Cologne,Spicy,Aromatic,Strong,A masterfully crafted EDT fragrance by Armaf. Perfect for Male seeking a Spicy scent with Strong longevity.
